BrandName,Condition,Drug,GenName,HowtoUse,Use
,"lack in minerals, treatment to prevent mineral deficiency, treatment to prevent vitamin deficiency, vitamin deficiency",Adult One Daily Multivitamin,Multivit With Min-Folic Acid,"Take this medication by mouth with or without food as directed by your doctor, usually once or twice daily. If stomach upset occurs, it may help to take this product with food.Take this medication 2 to 3 hours before or after taking certain antibiotics (including tetracyclines, quinolones such as ciprofloxacin). The minerals in this product may interfere with the antibiotic, preventing it from being absorbed.","This combination of vitamins and selected minerals is used to prevent or treat vitamin deficiency due to poor eating habits, problems that affect the body's ability to absorb nutrition from food, or increased need for vitamins and minerals due to stress or illness. Vitamins are needed for the body to function well.This vitamin/mineral combination contains high levels of B vitamins (e.g., folic acid, niacin, B-1, B-2, B-6, and B-12) and vitamin C. It also contains other vitamins (A, D, and E) and minerals such as zinc. This medication does not contain iron and has only a small amount of calcium. Therefore, it should not be used to treat ""iron-poor"" blood (anemia) or to prevent osteoporosis."
,stuffy nose,Adult Nasal Decongestant,Pseudoephedrine Hcl,"If you are taking the over-the-counter product to self-treat, read all directions on the product package before taking this medication. If you have any questions, ask your doctor or pharmacist. If your doctor has prescribed this medication, take it as directed.Take this medication by mouth with or without food, usually every 4 to 6 hours, as directed by the product package or by your doctor. Do not take more than 4 doses in a day. Dosage is based on your age, medical condition, and response to treatment. Do not increase your dose or take this drug more often than directed. Do not take more of this medication than recommended for your age.If you are using the chewable tablets, chew each tablet well and swallow. If you are using the liquid form of this medication, measure the dose carefully using a special measuring device/cup. Do not use a household spoon because you may not get the correct dose.There are many brands and forms of pseudoephedrine available. Some tablets should be swallowed with plenty of water. Check your product package for specific directions. Read the dosing instructions carefully for each product because the amount of pseudoephedrine may be different between products. Do not take more pseudoephedrine than recommended.Caffeine can increase the side effects of this medication. Avoid drinking large amounts of beverages containing caffeine (coffee, tea, colas), eating large amounts of chocolate, or taking nonprescription products that contain caffeine.If your symptoms do not improve after 7 days, if they worsen or return, if you develop fever, rash, or a persistent headache, or if you think you may have a serious medical problem, seek immediate medical attention.","Pseudoephedrine is used for the temporary relief of stuffy nose and sinus pain/pressure caused by infection (such as the common cold, flu) or other breathing illnesses (such as hay fever, allergies, bronchitis). Pseudoephedrine is a decongestant (sympathomimetic). It works by narrowing the blood vessels to decrease swelling and congestion.If you are self-treating with this medication, it is important to read the manufacturer's package instructions carefully so you know when to consult your doctor or pharmacist. (See also Precautions section.)Cough-and-cold products have not been shown to be safe or effective in children younger than 6 years. Do not use this product in children younger than 6 years unless specifically directed by the doctor. Long-acting tablets/capsules are not recommended for use in children younger than 12 years. Ask your doctor or pharmacist for more details about using your product safely.These products do not cure or shorten the length of the common cold and may cause serious side effects. To decrease the risk for serious side effects, carefully follow all dosage directions. Do not use this product to make a child sleepy. Do not give other cough-and-cold medication that might contain the same or similar decongestants (see also Drug Interactions section). Ask the doctor or pharmacist about other ways to relieve cough and cold symptoms (such as drinking enough fluids, using a humidifier or saline nose drops/spray)."
,"vitamin deficiency, treatment to prevent mineral deficiency, treatment to prevent vitamin deficiency, lack in minerals",Adult One Daily Gummies,Multivit With Min-Folic Acid,"Chew this medication thoroughly and swallow, usually once daily or as directed. Follow all directions on the product package, or take as directed by your doctor. Do not take more than the recommended dosage. If you are uncertain about any of the information, consult your doctor or pharmacist.Take this medication regularly in order to get the most benefit from it. To help you remember, take it at the same time each day.","This medication is a multivitamin product used to treat or prevent vitamin deficiency due to poor diet, certain illnesses, or during pregnancy. Vitamins are important building blocks of the body and help keep you in good health."
,"lack in minerals, vitamin deficiency, treatment to prevent mineral deficiency, treatment to prevent vitamin deficiency","Adult Multivitamin Gummies Tablet, Chewable",Multivit With Min-Folic Acid,"Chew this medication thoroughly and swallow, usually once daily or as directed. Follow all directions on the product package, or take as directed by your doctor. Do not take more than the recommended dosage. If you are uncertain about any of the information, consult your doctor or pharmacist.Take this medication regularly in order to get the most benefit from it. To help you remember, take it at the same time each day.","This medication is a multivitamin product used to treat or prevent vitamin deficiency due to poor diet, certain illnesses, or during pregnancy. Vitamins are important building blocks of the body and help keep you in good health."
,,Adult Multivitamin GUMMIES,Mv-Min-Folic Acid-Lutein,"Chew this medication thoroughly and swallow, usually once daily or as directed. Follow all directions on the product package, or take as directed by your doctor. Do not take more than the recommended dosage. If you are uncertain about any of the information, consult your doctor or pharmacist.Take this medication regularly in order to get the most benefit from it. To help you remember, take it at the same time each day.","This medication is a multivitamin product used to treat or prevent vitamin deficiency due to poor diet, certain illnesses, or during pregnancy. Vitamins are important building blocks of the body and help keep you in good health."
,"vitamin deficiency, lack in minerals, treatment to prevent vitamin deficiency, treatment to prevent mineral deficiency",Adult Multi + Omega-3,Mv-Min-Fa-D3-Om3-Dha-Epa-Fish,Consult your pharmacist or physician.,Consult your pharmacist or physician.
,"treatment to prevent mineral deficiency, vitamin deficiency, lack in minerals, treatment to prevent vitamin deficiency",Adult MULTIVITAMIN-IRON,Multivit-Min-Iron-Vitamin K,"Take this medication by mouth, usually once daily or as directed. Follow all directions on the product package, or take as directed by your doctor. Do not take more than the recommended dosage. If you are uncertain about any of the information, consult your doctor or pharmacist.This medication is best taken on an empty stomach 1 hour before or 2 hours after meals. Take with a full glass of water (8 ounces or 240 milliliters) unless your doctor directs you otherwise. If stomach upset occurs, you may take this medication with food. Avoid taking antacids, dairy products, tea, or coffee within 2 hours before or after this medication because they may decrease its effectiveness. Do not lie down for at least 10 minutes after taking the tablets or capsules. Consult your doctor or pharmacist for details for your particular brand.If you are taking the delayed-release form or extended-release capsules, swallow them whole. Do not crush or chew delayed-release or extended-release products. Doing so can release all of the drug at once, increasing the risk of side effects and decreasing absorption. Also, do not split extended-release tablets unless they have a score line and your doctor or pharmacist tells you to do so. Swallow the whole or split tablet without crushing or chewing.Take this medication regularly in order to get the most benefit from it. To help you remember, take it at the same time each day.","This medication is a multivitamin and iron product used to treat or prevent vitamin deficiency due to poor diet, certain illnesses, or during pregnancy. Vitamins and iron are important building blocks of the body and help keep you in good health."
,"treatment to prevent a heart attack, treatment to prevent peripheral artery thromboembolism, stroke prevention, rheumatic fever, Kawasaki disease, a condition with fever and inflammation in the arteries and veins, joint inflammatory disease in children and young adults, joint damage causing pain and loss of function, rheumatoid arthritis, inflammation of the covering of a tendon, prevention of transient ischemic attack, head pain, prevention for a blood clot going to the brain, inflammation of a tendon, pain, inflammation of the heart with rheumatic fever, blood clot prevention following percutaneous coronary intervention, myocardial reinfarction prevention, inflammation of the sac surrounding the joint - bursitis, fever, pain with menstruation, inflammation of the lining of a joint",Adult Low Dose Aspirin EC,Aspirin,"If you are taking this medication for self-treatment, follow all directions on the product package. If you are uncertain about any of the information, consult your doctor or pharmacist. If your doctor has directed you to take this medication, take it exactly as prescribed.Take this medication by mouth. Drink a full glass of water (8 ounces/240 milliliters) with it unless your doctor tells you otherwise. Do not lie down for at least 10 minutes after you have taken this drug. If stomach upset occurs while you are taking this medication, you may take it with food or milk.Swallow enteric-coated tablets whole. Do not crush or chew enteric-coated tablets. Doing so can increase stomach upset.Do not crush or chew extended-release tablets or capsules. Doing so can release all of the drug at once, increasing the risk of side effects. Also, do not split extended-release tablets unless they have a score line and your doctor or pharmacist tells you to do so. Swallow the whole or split tablet without crushing or chewing.The dosage and length of treatment are based on your medical condition and response to treatment. Read the product label to find recommendations on how many tablets you can take in a 24-hour period and how long you may self-treat before seeking medical advice. Do not take more medication or take it for longer than recommended unless directed by your doctor. Use the smallest effective dose. Consult your doctor or pharmacist if you have any questions.If you are taking this medication for self-treatment of headache, seek immediate medical attention if you also have slurred speech, weakness on one side of the body, or sudden vision changes. Before using this drug, consult a doctor or pharmacist if you have headaches caused by head injury, coughing, or bending, or if you have a headache with persistent/severe vomiting, fever, and stiff neck.If you are taking this medication as needed (not on a regular schedule), remember that pain medications work best if they are used as the first signs of pain occur. If you wait until the pain has worsened, the medicine may not work as well. Aspirin with a special coating (enteric coating) or slow release may take longer to stop pain because it is absorbed more slowly. Ask your doctor or pharmacist to help select the best type of aspirin for you.You should not take this medication for self-treatment of pain for longer than 10 days. You should not use this drug to self-treat a fever that lasts longer than 3 days. In these cases, consult a doctor because you may have a more serious condition. Tell your doctor promptly if you develop ringing in the ears or difficulty hearing.If your condition persists or worsens (such as new or unusual symptoms, redness/swelling of the painful area, pain/fever that does not go away or gets worse) or if you think you may have a serious medical problem, tell your doctor promptly.","Aspirin is used to reduce fever and relieve mild to moderate pain from conditions such as muscle aches, toothaches, common cold, and headaches. It may also be used to reduce pain and swelling in conditions such as arthritis. Aspirin is known as a salicylate and a nonsteroidal anti-inflammatory drug (NSAID). It works by blocking a certain natural substance in your body to reduce pain and swelling. Consult your doctor before treating a child younger than 12 years.Your doctor may direct you to take a low dose of aspirin to prevent blood clots. This effect reduces the risk of stroke and heart attack. If you have recently had surgery on clogged arteries (such as bypass surgery, carotid endarterectomy, coronary stent), your doctor may direct you to use aspirin in low doses as a ""blood thinner"" to prevent blood clots."
,"vitamin deficiency, treatment to prevent vitamin deficiency, treatment to prevent mineral deficiency, lack in minerals",Adult Multivitamin Extra D3,Multivit With Min-Folic Acid,"Chew this medication thoroughly and swallow, usually once daily or as directed. Follow all directions on the product package, or take as directed by your doctor. Do not take more than the recommended dosage. If you are uncertain about any of the information, consult your doctor or pharmacist.Take this medication regularly in order to get the most benefit from it. To help you remember, take it at the same time each day.","This medication is a multivitamin product used to treat or prevent vitamin deficiency due to poor diet, certain illnesses, or during pregnancy. Vitamins are important building blocks of the body and help keep you in good health."
,constipation,"ADULT Glycerin Suppository, Rectal",Glycerin (Adult),"This product is for rectal use only. Read and follow all directions on the product package, or use as directed by your doctor. If you are uncertain about any of the information, consult your doctor or pharmacist. If the suppository is too soft to insert, chill in the refrigerator for 30 minutes or run cold water over it before removing the foil wrapper.Wash your hands before and after using this product. If the medication is wrapped in foil, remove the foil wrapper. If desired, the suppository may be moistened with lukewarm water. Do not use petroleum jelly or mineral oil. Doing so may cause the product to be less effective.Lie on your left side with the right knee slightly bent. Using your finger, gently insert the suppository well up into the rectum, pointed end first. After insertion, stay in position for 15 to 20 minutes if possible until you feel a strong urge to have a bowel movement. This product does not need to melt completely to produce an effect. If you are helping a child use this product, have the child lie on their side with the lower leg straightened out and the upper leg bent toward the stomach. Using your finger, gently insert the suppository into the rectum, pointed end first. Hold the buttocks together for a few seconds. Then, have your child stay lying down for 15 to 20 minutes if possible to keep the suppository from coming out.Do not use this product more than once daily unless otherwise directed by your doctor.If this product is used too frequently, it may cause loss of normal bowel function and an inability to have a bowel movement without using the product (laxative dependence). If you notice symptoms of overuse, such as diarrhea, abdominal pain, decreased weight, or weakness, contact your doctor promptly.Consult your doctor promptly if you do not have a bowel movement after using this product or if you think you may have a serious medical problem.","This product is used to relieve occasional constipation. Glycerin belongs to a class of drugs known as hyperosmotic laxatives. It works by drawing water into the intestines. This effect usually results in a bowel movement within 15 to 60 minutes.For adults, the normal frequency of bowel movements varies from once daily to 1 to 2 times weekly. For preschool-aged children, the normal frequency of bowel movements varies from once daily to once every other day. Constipation is best treated by drinking plenty of fluids, eating foods high in fiber, and exercising regularly."
,,Adult 50 + Probiotic,Lactobacillus Combination No.9,"Follow all directions on the product package. Refer to the label directions for your specific product to see if the dose should be swallowed whole, chewed, sprinkled onto food or mixed with liquid. If you are uncertain about any of the information, consult your doctor or pharmacist.Some probiotic products may contain live bacteria (such as bifidobacteria). Antibiotics may prevent these products from working well. Take any product containing live bacteria at least 2 to 3 hours before or after taking antibiotics. Follow the directions for your specific product.If you are taking this product for diarrhea due to antibiotics, do not use it if you have a high fever or for more than 2 days, unless directed by your doctor. You may have a serious problem that requires medical treatment.If your condition persists or worsens, or if you think you may have a serious medical problem, seek immediate medical attention.","Probiotics contain different types of micro-organisms such as yeast (saccharomyces boulardii) and bacteria (such as lactobacillus, bifidobacterium). Micro-organisms (flora) are naturally found in the stomach/intestines/vagina. Some conditions (such as antibiotic use, travel) can change the normal balance of bacteria/yeast. Probiotics are used to improve digestion and restore normal flora.Probiotics have been used to treat bowel problems (such as diarrhea, irritable bowel), eczema, vaginal yeast infections, lactose intolerance, and urinary tract infections.Probiotics are available in foods (such as yogurt, milk, juices, soy beverages) and as dietary supplements (capsules, tablets, powders). Different products have different uses. Check the label for information on uses for your particular product.Some diet supplement products have been found to contain possibly harmful impurities/additives. Check with your pharmacist for more details regarding the particular brand you use.The FDA has not reviewed this product for safety or effectiveness. Consult your doctor or pharmacist for more details."
,"colon and rectal cancer that has spread to another area, cancer of gallbladder or bile ducts, cancer of the esophagus, hard irregular scarring of skin often increasing in size, tumor of epithelial cells in cornea & conjunctiva of eye, squamous cell carcinoma of head and neck, pancreatic adenocarcinoma, a cancer that forms in the glands of the pancreas, Cancer of Pancreas Islet Cells, metastatic breast carcinoma, stomach cancer, carcinoid syndrome, locally advanced breast carcinoma, cancer of the large intestine, Localized Anal Cancer, carcinoma cancer of the cervix, cancer of the bladder, metastatic anal cancer",Adrucil Vial,Fluorouracil,"This medication is usually given by injection into a vein by a health care professional. It may also be given by other methods of injection depending upon your medical condition. The dosage is based on your medical condition, body size, and response to therapy.",Fluorouracil is used to treat various types of cancer. It is a chemotherapy drug that is used to slow or stop cancer cell growth.
,"tumor of soft/connective tissue that is usually malignant, metastatic breast carcinoma, Burkitt's lymphoma, stomach cancer that has spread to another part of body, multiple myeloma, follicular lymphoma, acute myeloid leukemia, a type of blood cancer, breast cancer, diffuse large B-cell lymphoma, pancreatic adenocarcinoma, a cancer that forms in the glands of the pancreas, thyroid cancer, cancer of the ovary, neuroblastoma, cutaneous T-cell lymphoma, lung cancer, locally advanced breast carcinoma, Cancer of Pancreas Islet Cells, osteosarcoma of bone, liver cancer, cancer in the lining of the uterus, Ewing's sarcoma, Wilms' tumor, cancer or malignancy, a type of cancer of the lymph nodes called Hodgkin's lymphoma, non-Hodgkin's lymphoma, acute lymphoid leukemia, small cell cancer of the lung, carcinoid syndrome, progressive chronic lymphocytic leukemia, invasive bladder cancer",Adriamycin 2 Mg/Ml Intravenous Solution,Doxorubicin,"Read the Patient Information Leaflet if available from your pharmacist before you start receiving doxorubicin and each time you get an infusion. If you have any questions, ask your doctor or pharmacist.This medication is given by injection into a vein by a health care professional. The dosage is based on your medical condition, body size, and response to therapy.If this medication touches your skin, immediately and completely wash the skin with soap and water. If this medication gets in your eye, open the eyelids and flush with plenty of water for 15 minutes. Seek immediate medical attention.Caregivers should take precautions (e.g., wear gloves) to prevent contact with the patient's urine or other body fluid for at least 5 days after treatment. Consult your pharmacist.Unless your doctor instructs you otherwise, drink plenty of cool fluids during treatment with this medication. This helps move the drug quickly through your body and helps reduce some of the side effects.",Doxorubicin is an anthracycline type of chemotherapy that is used to treat several different types of cancer. Doxorubicin works by slowing or stopping the growth of cancer cells.
,diagnostic imaging,Adreview Vial,Iobenguane Sulfate I-123,Consult your pharmacist or physician.,Consult your pharmacist or physician.
,"sinus bradycardia, an allergic reaction, complete stoppage of the heart, a prolonged asthma attack, additional local anesthesia, a significant drop in blood pressure due to bacterial infection, sudden drop in blood pressure, a significant type of allergic reaction called anaphylaxis, ventricular fibrillation, a heart rhythm disorder, dilated pupils during eye surgery",Adrenalin CHLORIDE Vial,Epinephrine,Consult your pharmacist or physician.,Consult your pharmacist or physician.
,,Adult Omega Plus DHA,Chia-Ala-Linoleic-Oleic-Dha,Consult your pharmacist or physician.,Consult your pharmacist or physician.
,"type 2 diabetes mellitus, diabetes, diabetes during pregnancy, type 1 diabetes mellitus",Admelog Vial,Insulin Lispro,"Read the Patient Information Leaflet provided by your pharmacist before you start using this medication and each time you get a refill. If you have any questions, ask your doctor, diabetes educator, or pharmacist.Learn all preparation and usage instructions from your health care professional and the product package.Before using, check this product visually for particles or discoloration. If either is present, do not use the insulin. Insulin lispro should be clear and colorless.Before injecting each dose, clean the injection site with rubbing alcohol. Change where you inject each time to lessen the risk of problems or damage under the skin (for example, pits/lumps or thickened skin). Insulin lispro may be injected in the stomach area, the thigh, the buttocks, or the back of the upper arm. Do not inject into skin that is red, swollen, itchy, or damaged. Do not inject cold insulin because this can be painful. The insulin container you are currently using can be kept at room temperature (see also Storage section).Inject this medication under the skin as directed by your doctor, usually within 15 minutes before eating a meal or immediately after a meal. Do not inject into a vein or muscle because very low blood sugar (hypoglycemia) may occur. Because this insulin is fast-acting, not eating right after a dose of insulin may also lead to low blood sugar. Do not inject if you have low blood sugar. Do not rub the area after the injection.Giving insulin lispro into a vein should only be done by a health care professional. Very low blood sugar may result.If you are directed to inject this insulin with an infusion pump, read the instruction manual and directions that come with the infusion pump. If you have any questions, ask your health care professional. Avoid exposing the pump or its tubing to direct sunlight or other heat sources. Do not dilute insulin if you are using an insulin pump.This product may be mixed only with certain other insulin products such as NPH insulin. Always draw the insulin lispro into the syringe first, then follow with the longer-acting insulin. Never inject a mixture of different insulins into a vein. Consult your health care professional about which products may be mixed, the proper method for mixing insulin, and the proper way to inject mixtures of insulin. Do not mix insulins if you are using an insulin pump.If you are directed to add a mixing liquid to insulin lispro before use (dilute), ask your health care professional about the correct way to dilute insulin.Do not change brands or types of insulin without directions on how to do so from your doctor.Do not share your pen device with another person, even if the needle is changed. You may give other people a serious infection, or get a serious infection from them. Learn how to store and discard medical supplies safely.The dosage is based on your medical condition and response to treatment. Measure each dose very carefully because even small changes in the amount of insulin may have a large effect on your blood sugar.Check your blood sugar regularly as directed by your doctor. Keep track of your results and share them with your doctor. This is very important in order to determine the correct insulin dose.Use this medication regularly to get the most benefit from it. To help you remember, use it at the same times each day.Tell your doctor if your condition does not improve or if it worsens (your blood sugar is too high or too low).","Insulin lispro is used with a proper diet and exercise program to control high blood sugar in people with diabetes. Controlling high blood sugar helps prevent kidney damage, blindness, nerve problems, loss of limbs, and sexual function problems. Proper control of diabetes may also lessen your risk of a heart attack or stroke.Insulin lispro is a man-made product that is similar to human insulin. It replaces the insulin that your body would normally make. Insulin lispro starts working faster and lasts for a shorter time than regular insulin. It works by helping blood sugar (glucose) get into cells so your body can use it for energy. This medication is usually used with a medium- or long-acting insulin product. Insulin lispro may also be used with other oral diabetes medications (such as sulfonylureas like glyburide or glipizide)."
,stuffy nose,"Adrenalin CHLORIDE Solution, Non-",Epinephrine Hcl,Consult your pharmacist or physician.,Consult your pharmacist or physician.
,,Adrenoid,B12-Iodin-Mag-Zinc-Sel-Herb193,Consult your pharmacist or physician.,Consult your pharmacist or physician.
,type 2 diabetes mellitus,Adlyxin Pen Injector,Lixisenatide,"Read the Medication Guide and the Instructions For Use Leaflet provided by your pharmacist before you start using lixisenatide and each time you get a refill. Learn all preparation and usage instructions. If you have any questions, ask your doctor or pharmacist.Before using, check this product visually for particles or discoloration. If either is present, do not use the liquid. Before injecting each dose, clean the injection site with rubbing alcohol. Change the injection site each time to lessen injury under the skin.Inject this medication under the skin in the thigh, abdomen, or upper arm as directed by your doctor, usually once daily within 1 hour before the first meal of the day.Lixisenatide can slow down or decrease the absorption of other drugs such as birth control pills, antibiotics, or acetaminophen. Take other medications at least 1 hour before using this medication. Take birth control pills at least 1 hour before or 11 hours after using this medication. If you must take these other medications with food, take them with a meal or snack when you are not using this product. Ask your doctor or pharmacist if you have any questions about when to take your medications.Use this medication regularly to get the most benefit from it. To help you remember, use it with the same meal each day.Do not share your pen device with another person, even if the needle is changed. You may give other people a serious infection, or get a serious infection from them. Learn how to store and discard medical supplies safely.Tell your doctor if your condition does not get better or if it gets worse (your blood sugar is too high or too low).","Lixisenatide is used with a proper diet and exercise program to control high blood sugar in people with type 2 diabetes. Controlling high blood sugar helps prevent kidney damage, blindness, nerve problems, loss of limbs, and sexual function problems. Proper control of diabetes may also lessen your risk of a heart attack or stroke.Lixisenatide is similar to a natural hormone in your body (incretin). It works by causing insulin release in response to high sugar levels (such as after a meal) and decreasing the amount of sugar your liver makes.Lixisenatide is not a substitute for insulin if you require insulin treatment."
,"type 1 diabetes mellitus, type 2 diabetes mellitus, diabetes, diabetes during pregnancy",Admelog Solostar Insulin Pen,Insulin Lispro,"Read the Patient Information Leaflet provided by your pharmacist before you start using this medication and each time you get a refill. If you have any questions, ask your doctor, diabetes educator, or pharmacist.Learn all preparation and usage instructions from your health care professional and the product package.Before using, check this product visually for particles or discoloration. If either is present, do not use the insulin. Insulin lispro should be clear and colorless.Before injecting each dose, clean the injection site with rubbing alcohol. Change where you inject each time to lessen the risk of problems or damage under the skin (for example, pits/lumps or thickened skin). Insulin lispro may be injected in the stomach area, the thigh, the buttocks, or the back of the upper arm. Do not inject into skin that is red, swollen, itchy, or damaged. Do not inject cold insulin because this can be painful. The insulin container you are currently using can be kept at room temperature (see also Storage section).Inject this medication under the skin as directed by your doctor, usually within 15 minutes before eating a meal or immediately after a meal. Do not inject into a vein or muscle because very low blood sugar (hypoglycemia) may occur. Because this insulin is fast-acting, not eating right after a dose of insulin may also lead to low blood sugar. Do not inject if you have low blood sugar. Do not rub the area after the injection.Giving insulin lispro into a vein should only be done by a health care professional. Very low blood sugar may result.If you are directed to inject this insulin with an infusion pump, read the instruction manual and directions that come with the infusion pump. If you have any questions, ask your health care professional. Avoid exposing the pump or its tubing to direct sunlight or other heat sources. Do not dilute insulin if you are using an insulin pump.This product may be mixed only with certain other insulin products such as NPH insulin. Always draw the insulin lispro into the syringe first, then follow with the longer-acting insulin. Never inject a mixture of different insulins into a vein. Consult your health care professional about which products may be mixed, the proper method for mixing insulin, and the proper way to inject mixtures of insulin. Do not mix insulins if you are using an insulin pump.If you are directed to add a mixing liquid to insulin lispro before use (dilute), ask your health care professional about the correct way to dilute insulin.Do not change brands or types of insulin without directions on how to do so from your doctor.Do not share your pen device with another person, even if the needle is changed. You may give other people a serious infection, or get a serious infection from them. Learn how to store and discard medical supplies safely.The dosage is based on your medical condition and response to treatment. Measure each dose very carefully because even small changes in the amount of insulin may have a large effect on your blood sugar.Check your blood sugar regularly as directed by your doctor. Keep track of your results and share them with your doctor. This is very important in order to determine the correct insulin dose.Use this medication regularly to get the most benefit from it. To help you remember, use it at the same times each day.Tell your doctor if your condition does not improve or if it worsens (your blood sugar is too high or too low).","Insulin lispro is used with a proper diet and exercise program to control high blood sugar in people with diabetes. Controlling high blood sugar helps prevent kidney damage, blindness, nerve problems, loss of limbs, and sexual function problems. Proper control of diabetes may also lessen your risk of a heart attack or stroke.Insulin lispro is a man-made product that is similar to human insulin. It replaces the insulin that your body would normally make. Insulin lispro starts working faster and lasts for a shorter time than regular insulin. It works by helping blood sugar (glucose) get into cells so your body can use it for energy. This medication is usually used with a medium- or long-acting insulin product. Insulin lispro may also be used with other oral diabetes medications (such as sulfonylureas like glyburide or glipizide)."
Kadcyla,"cancer or malignancy, HER2 positive breast cancer","Ado-Trastuzumab Emtansine Solution, Reconstituted (Recon Soln)",Ado-Trastuzumab Emtansine,"This medication is given by slow injection into a vein by a health care professional. It is given as directed by your doctor, usually once every 3 weeks. Your first infusion will be given over at least 90 minutes.The dosage, the speed of your injection, and the length of time you receive trastuzumab emtansine is based on your body weight, medical condition, and response to treatment.To get the most benefit from this medication, do not miss any doses. To help you remember, mark the days on the calendar when you need to receive the medication.Your doctor may prescribe other medications (such as acetaminophen, diphenhydramine) for you to take before the start of your treatment to help prevent serious side effects.","Trastuzumab emtansine is used to treat certain types of breast cancer. This medication is used to treat tumors that produce more than the normal amount of a certain substance called HER2 protein.This medication is called a monoclonal antibody and microtubule inhibitor conjugate. Trastuzumab emtansine works by attaching to the HER2 cancer cells and blocking them from dividing and growing. It may also destroy the cancer cells or signal the body (immune system) to destroy the cancer cells.This monograph is about the following trastuzumab emtansine products: trastuzumab emtansine, ado-trastuzumab emtansine."
,prevention of shingles,Adjuvant AS01B (PF)Vial 1 Of 2 Suspension,Adjuvant As01B (Pf)Vial 1 Of 2,Consult your pharmacist or physician.,Consult your pharmacist or physician.
,,Adhesive Tape-Silicones Combination Package,Adhesive Tape-Silicones,Consult your pharmacist or physician.,Consult your pharmacist or physician.
,"prevention for a blood clot going to the brain, inflammation of a tendon, inflammation of the lining of a joint, rheumatic fever, myocardial reinfarction prevention, blood clot prevention following percutaneous coronary intervention, treatment to prevent a heart attack, Kawasaki disease, a condition with fever and inflammation in the arteries and veins, joint inflammatory disease in children and young adults, inflammation of the sac surrounding the joint - bursitis, head pain, prevention of transient ischemic attack, inflammation of the heart with rheumatic fever, pain with menstruation, rheumatoid arthritis, inflammation of the covering of a tendon, fever, pain, joint damage causing pain and loss of function",Adult Aspirin Regimen,Aspirin,"If you are taking this medication for self-treatment, follow all directions on the product package. If you are uncertain about any of the information, consult your doctor or pharmacist. If your doctor has directed you to take this medication, take it exactly as prescribed.Take this medication by mouth. Drink a full glass of water (8 ounces/240 milliliters) with it unless your doctor tells you otherwise. Do not lie down for at least 10 minutes after you have taken this drug. If stomach upset occurs while you are taking this medication, you may take it with food or milk.Swallow enteric-coated tablets whole. Do not crush or chew enteric-coated tablets. Doing so can increase stomach upset.Do not crush or chew extended-release tablets or capsules. Doing so can release all of the drug at once, increasing the risk of side effects. Also, do not split extended-release tablets unless they have a score line and your doctor or pharmacist tells you to do so. Swallow the whole or split tablet without crushing or chewing.The dosage and length of treatment are based on your medical condition and response to treatment. Read the product label to find recommendations on how many tablets you can take in a 24-hour period and how long you may self-treat before seeking medical advice. Do not take more medication or take it for longer than recommended unless directed by your doctor. Use the smallest effective dose. Consult your doctor or pharmacist if you have any questions.If you are taking this medication for self-treatment of headache, seek immediate medical attention if you also have slurred speech, weakness on one side of the body, or sudden vision changes. Before using this drug, consult a doctor or pharmacist if you have headaches caused by head injury, coughing, or bending, or if you have a headache with persistent/severe vomiting, fever, and stiff neck.If you are taking this medication as needed (not on a regular schedule), remember that pain medications work best if they are used as the first signs of pain occur. If you wait until the pain has worsened, the medicine may not work as well. Aspirin with a special coating (enteric coating) or slow release may take longer to stop pain because it is absorbed more slowly. Ask your doctor or pharmacist to help select the best type of aspirin for you.You should not take this medication for self-treatment of pain for longer than 10 days. You should not use this drug to self-treat a fever that lasts longer than 3 days. In these cases, consult a doctor because you may have a more serious condition. Tell your doctor promptly if you develop ringing in the ears or difficulty hearing.If your condition persists or worsens (such as new or unusual symptoms, redness/swelling of the painful area, pain/fever that does not go away or gets worse) or if you think you may have a serious medical problem, tell your doctor promptly.","Aspirin is used to reduce fever and relieve mild to moderate pain from conditions such as muscle aches, toothaches, common cold, and headaches. It may also be used to reduce pain and swelling in conditions such as arthritis. Aspirin is known as a salicylate and a nonsteroidal anti-inflammatory drug (NSAID). It works by blocking a certain natural substance in your body to reduce pain and swelling. Consult your doctor before treating a child younger than 12 years.Your doctor may direct you to take a low dose of aspirin to prevent blood clots. This effect reduces the risk of stroke and heart attack. If you have recently had surgery on clogged arteries (such as bypass surgery, carotid endarterectomy, coronary stent), your doctor may direct you to use aspirin in low doses as a ""blood thinner"" to prevent blood clots."
